"","V1","V2","V3","V4","V5","V6","V7","V8"
"1"," 0.61"," 0.48"," 0.79"," 0.63"," 0.55"," 0.60"," 0.59"," 0.66"
"2"," 0.36"," 0.28"," 0.90"," 0.63"," 0.89"," 0.65"," 0.62"," 0.50"
"3"," 0.22"," 0.30"," 0.53"," 0.50"," 0.46"," 0.41"," 0.67"," 0.65"
"4"," 0.23"," 0.24"," 0.32"," 0.37"," 0.31"," 0.35"," 0.62"," 0.77"
"5"," 0.49"," 0.38"," 0.89"," 0.80"," 0.79"," 0.72"," 0.94"," 0.88"
"6"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"7"," 0.84"," 1.31"," 1.00"," 1.12"," 0.57"," 0.57"," 0.77"," 0.74"
"8"," 0.82"," 0.77"," 1.21"," 0.93"," 1.46"," 1.13"," 2.01"," 1.77"
"9"," 0.34"," 0.43"," 0.80"," 0.71"," 0.68"," 0.61"," 0.95"," 0.90"
"10"," 0.65"," 0.68"," 1.07"," 1.17"," 1.53"," 1.74"," 1.52"," 1.70"
"11"," 1.43"," 1.50"," 1.75"," 1.89"," 1.87"," 2.13"," 2.53"," 2.78"
"12"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"13"," 0.73"," 1.04"," 0.94"," 1.25"," 0.63"," 0.64"," 0.68"," 0.65"
"14"," 0.94"," 0.55"," 0.68"," 0.59"," 0.49"," 0.46"," 0.76"," 0.62"
"15"," 0.62"," 0.89"," 0.81"," 1.37"," 0.75"," 1.25"," 0.78"," 1.18"
"16"," 0.93"," 1.09"," 1.34"," 1.35"," 1.74"," 1.69"," 1.43"," 1.46"
"17"," 6.88"," 5.60"," 5.79"," 6.62","10.12","19.80"," 5.83"," 6.22"
"18"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"19"," 0.52"," 0.76"," 0.53"," 0.66"," 0.62"," 0.71"," 0.72"," 0.70"
"20"," 0.37"," 0.70"," 1.29"," 1.69"," 1.37"," 1.79"," 0.95"," 0.99"
"21"," 0.65"," 0.93"," 1.02"," 1.06"," 1.08"," 1.12"," 1.22"," 1.37"
"22"," 0.16"," 0.15"," 0.38"," 0.35"," 0.34"," 0.31"," 0.62"," 0.57"
"23"," 0.45"," 0.50"," 0.92"," 0.94"," 0.98"," 1.04"," 1.11"," 1.26"
"24"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"25"," 0.49"," 1.12"," 0.44"," 0.37"," 0.49"," 0.59"," 0.60"," 0.58"
"26"," 0.48"," 0.47"," 1.11"," 1.10"," 1.06"," 1.07"," 1.27"," 1.20"
"27"," 0.45"," 0.33"," 0.75"," 0.86"," 0.71"," 0.87"," 1.29"," 1.54"
"28"," 0.24"," 0.26"," 0.55"," 0.46"," 0.50"," 0.41"," 0.60"," 0.50"
"29"," 1.25"," 1.23"," 1.79"," 1.55"," 1.67"," 1.54"," 1.80"," 1.49"
"30"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"31"," 0.16"," 0.42"," 0.28"," 0.26"," 0.31"," 0.26"," 0.44"," 0.75"
"32"," 0.19"," 0.25"," 0.64"," 0.92"," 0.61"," 0.94"," 0.84"," 1.29"
"33"," 0.55"," 0.56"," 0.82"," 0.82"," 0.76"," 0.77"," 0.73"," 0.87"
"34"," 0.52"," 0.46"," 1.21"," 1.00"," 1.15"," 1.00"," 1.49"," 1.28"
"35"," 1.36"," 1.64"," 1.18"," 1.42"," 0.90"," 1.01"," 0.96"," 1.15"
