"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","0.96","0.97","1.06","1.03","0.99","1.07","1.06","0.97"
"2","1.07","1.08","1.28","1.20","1.18","1.33","1.23","1.20"
"3","1.12","1.15","1.49","1.31","1.40","1.57","1.38","1.48"
"4","1.49","1.54","2.09","1.82","2.07","2.19","1.93","2.18"
"5","1.60","1.66","2.18","1.87","2.21","2.27","1.95","2.30"
"6","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"7","0.90","0.92","1.00","0.99","0.95","1.02","1.01","0.94"
"8","0.95","0.96","1.16","1.09","1.09","1.21","1.14","1.11"
"9","0.98","0.99","1.32","1.22","1.25","1.38","1.27","1.29"
"10","1.10","1.14","1.57","1.40","1.58","1.62","1.47","1.64"
"11","1.17","1.20","1.57","1.43","1.60","1.63","1.51","1.67"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13","0.87","0.88","0.95","0.94","0.90","0.97","0.98","0.89"
"14","0.77","0.79","0.96","0.92","0.94","0.99","0.96","0.95"
"15","0.75","0.76","1.02","0.95","1.01","1.06","1.00","1.05"
"16","0.73","0.75","1.03","0.98","1.10","1.08","1.03","1.15"
"17","0.73","0.76","1.02","0.98","1.09","1.06","1.02","1.14"
"18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"19","0.84","0.86","0.92","0.92","0.89","0.94","0.94","0.87"
"20","0.75","0.76","0.92","0.90","0.90","0.96","0.94","0.93"
"21","0.66","0.67","0.91","0.87","0.95","0.96","0.92","1.00"
"22","0.61","0.64","0.90","0.87","1.00","0.93","0.91","1.04"
"23","0.65","0.67","0.89","0.87","0.99","0.93","0.91","1.03"
"24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"25","0.78","0.79","0.87","0.89","0.87","0.89","0.92","0.86"
"26","0.70","0.71","0.88","0.86","0.88","0.91","0.90","0.90"
"27","0.61","0.63","0.86","0.83","0.89","0.90","0.88","0.94"
"28","0.58","0.59","0.83","0.80","0.92","0.87","0.85","0.98"
"29","0.62","0.64","0.83","0.82","0.94","0.88","0.87","0.99"
"30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"31","0.76","0.78","0.85","0.87","0.84","0.87","0.90","0.83"
"32","0.66","0.67","0.82","0.81","0.84","0.86","0.86","0.86"
"33","0.56","0.58","0.77","0.75","0.83","0.82","0.79","0.87"
"34","0.53","0.55","0.75","0.74","0.85","0.79","0.78","0.90"
"35","0.56","0.58","0.76","0.76","0.87","0.80","0.80","0.92"
