"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","0.56","0.60","0.69","0.71","0.67","0.73","0.74","0.68"
"2","0.42","0.43","0.66","0.66","0.70","0.71","0.69","0.75"
"3","0.42","0.43","0.69","0.66","0.77","0.74","0.71","0.83"
"4","0.47","0.49","0.71","0.69","0.82","0.76","0.73","0.88"
"5","0.48","0.50","0.73","0.71","0.83","0.78","0.76","0.89"
"6","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"7","0.80","0.83","0.95","0.95","0.89","1.00","0.96","0.89"
"8","0.86","0.90","1.25","1.10","1.21","1.32","1.13","1.25"
"9","1.02","1.04","1.58","1.20","1.54","1.67","1.24","1.63"
"10","1.24","1.28","1.81","1.36","1.82","1.93","1.44","1.95"
"11","1.25","1.29","1.80","1.33","1.84","1.91","1.39","1.97"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13","0.77","0.79","0.92","0.92","0.86","0.96","0.92","0.85"
"14","0.76","0.78","1.11","1.00","1.08","1.17","1.03","1.13"
"15","0.78","0.79","1.27","1.06","1.33","1.35","1.11","1.41"
"16","0.88","0.91","1.29","1.09","1.35","1.38","1.15","1.45"
"17","0.93","0.96","1.37","1.13","1.40","1.44","1.19","1.48"
"18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"19","0.70","0.72","0.83","0.84","0.77","0.89","0.87","0.79"
"20","0.58","0.60","0.90","0.84","0.86","0.95","0.88","0.91"
"21","0.57","0.59","0.92","0.87","0.97","0.98","0.90","1.03"
"22","0.62","0.64","0.93","0.85","0.99","0.99","0.91","1.06"
"23","0.62","0.65","0.93","0.86","1.00","1.00","0.92","1.08"
"24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"25","0.63","0.66","0.76","0.78","0.72","0.81","0.81","0.73"
"26","0.52","0.52","0.79","0.75","0.80","0.84","0.79","0.85"
"27","0.51","0.52","0.83","0.77","0.88","0.88","0.81","0.94"
"28","0.55","0.56","0.84","0.79","0.91","0.89","0.84","0.98"
"29","0.56","0.59","0.85","0.80","0.93","0.91","0.86","0.99"
"30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"31","0.63","0.65","0.77","0.79","0.74","0.80","0.81","0.74"
"32","0.49","0.50","0.73","0.71","0.76","0.78","0.75","0.80"
"33","0.45","0.46","0.73","0.69","0.81","0.78","0.73","0.87"
"34","0.51","0.52","0.78","0.75","0.87","0.83","0.79","0.94"
"35","0.53","0.55","0.79","0.75","0.87","0.84","0.80","0.94"
