"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","1.04","1.02","1.10","1.07","1.02","1.09","1.07","0.98"
"2","1.08","1.08","1.16","1.16","1.13","1.19","1.19","1.13"
"3","1.31","1.31","1.42","1.38","1.36","1.46","1.44","1.36"
"4","1.46","1.54","1.81","1.76","1.95","1.88","1.88","1.95"
"5","1.92","1.93","2.23","2.03","2.31","2.35","2.19","2.39"
"6","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"7","1.00","1.05","1.03","1.05","1.00","1.04","1.04","0.95"
"8","1.03","1.01","1.13","1.12","1.11","1.19","1.17","1.10"
"9","1.08","1.12","1.25","1.23","1.27","1.24","1.25","1.22"
"10","1.34","1.36","1.64","1.52","1.60","1.67","1.61","1.68"
"11","1.26","1.34","1.55","1.49","1.60","1.65","1.61","1.69"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13","0.90","0.89","0.95","0.98","0.98","0.96","1.01","0.95"
"14","0.90","0.91","1.01","0.98","0.98","1.03","1.04","0.99"
"15","0.87","0.87","0.93","0.95","1.01","0.99","1.01","1.05"
"16","0.87","0.87","1.09","1.09","1.17","1.14","1.16","1.23"
"17","0.88","0.92","1.10","1.10","1.23","1.19","1.22","1.29"
"18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"19","0.92","0.90","0.94","0.94","0.96","0.95","0.97","0.89"
"20","0.82","0.83","0.88","0.91","0.93","0.88","0.93","0.93"
"21","0.84","0.87","0.92","0.95","1.00","0.93","0.96","1.00"
"22","0.73","0.75","0.96","0.99","1.10","1.00","1.06","1.12"
"23","0.73","0.76","0.95","0.96","1.06","0.94","0.97","1.06"
"24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"25","0.89","0.92","0.92","0.92","0.90","0.96","0.95","0.89"
"26","0.82","0.84","0.89","0.90","0.91","0.93","0.96","0.92"
"27","0.77","0.76","0.90","0.90","0.96","0.94","0.98","1.04"
"28","0.73","0.77","0.93","0.91","0.98","1.00","0.98","1.03"
"29","0.67","0.71","0.83","0.83","0.96","0.88","0.90","1.00"
"30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"31","0.82","0.84","0.87","0.90","0.91","0.89","0.93","0.89"
"32","0.80","0.81","0.87","0.88","0.88","0.88","0.92","0.88"
"33","0.68","0.71","0.80","0.85","0.91","0.82","0.86","0.92"
"34","0.61","0.63","0.82","0.85","0.93","0.86","0.91","0.96"
"35","0.60","0.64","0.77","0.80","0.90","0.82","0.86","0.96"
